"player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","bbref_link","bbref_id","first_season","last_season","espn_link","espn_number","espn_id","first_year_in_school","last_year_in_school","school_1_name","school_1_id","school_2_name","school_2_id","sport_ref_id","school_3_name","school_3_id"
"Troy Hudson","Troy","Hudson","troy","hudson",NA,"h/hudsotr01","hudsotr01",2005,2008,"353/troy-hudson",353,"troy-hudson",NA,NA,NA,"missouri","Southern","southern-illinois","troy-hudson-1",NA,NA
"Troy Murphy","Troy","Murphy","troy","murphy",NA,"m/murphtr01","murphtr01",2005,2013,"1013/troy-murphy",1013,"troy-murphy",NA,NA,NA,"notre-dame",NA,NA,"troy-murphy-1",NA,NA
"Tyronn Lue","Tyronn","Lue","tyronn","lue",NA,"l/luety01","luety01",2005,2009,"489/tyronn-lue",489,"tyronn-lue",NA,NA,NA,"nebraska",NA,NA,"tyronn-lue-1",NA,NA
"Tyson Chandler","Tyson","Chandler","tyson","chandler",NA,"c/chandty01","chandty01",2005,2019,"984/tyson-chandler",984,"tyson-chandler",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Udonis Haslem","Udonis","Haslem","udonis","haslem",NA,"h/hasleud01","hasleud01",2005,2019,"2184/udonis-haslem",2184,"udonis-haslem",NA,NA,NA,"florida",NA,NA,"udonis-haslem-1",NA,NA
"Vin Baker","Vin","Baker","vin","baker",NA,"b/bakervi01","bakervi01",2005,2006,"34/vin-baker",34,"vin-baker",NA,NA,NA,"hartford",NA,NA,"vin-baker-1",NA,NA
"Vince Carter","Vince","Carter","vince","carter",NA,"c/cartevi01","cartevi01",2005,2019,"136/vince-carter",136,"vince-carter",NA,NA,NA,"north-carolina",NA,NA,"vince-carter-1",NA,NA
"Vitaly Potapenko","Vitaly","Potapenko","vitaly","potapenko",NA,"p/potapvi01","potapvi01",2005,2007,"674/vitaly-potapenko",674,"vitaly-potapenko",NA,NA,NA,"wright-state",NA,NA,"vitaly-potapenko-1",NA,NA
"Vlade Divac","Vlade","Divac","vlade","divac",NA,"d/divacvl01","divacvl01",2005,2005,"205/vlade-divac",205,"vlade-divac",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vladimir Radmanovic","Vladimir","Radmanovic","vladimir","radmanovic",NA,"r/radmavl01","radmavl01",2005,2013,"1016/vladimir-radmanovic",1016,"vladimir-radmanovic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Voshon Lenard","Voshon","Lenard","voshon","lenard",NA,"l/lenarvo01","lenarvo01",2005,2006,"465/voshon-lenard",465,"voshon-lenard",NA,NA,NA,"minnesota",NA,NA,"voshon-lenard-1",NA,NA
"Wally Szczerbiak","Wally","Szczerbiak","wally","szczerbiak",NA,"s/szczewa02","szczewa02",2005,2009,"831/wally-szczerbiak",831,"wally-szczerbiak",NA,NA,NA,"miami-oh",NA,NA,"wally-szczerbiak-1",NA,NA
"Walter McCarty","Walter","McCarty","walter","mccarty",NA,"m/mccarwa01","mccarwa01",2005,2006,"522/walter-mccarty",522,"walter-mccarty",NA,NA,NA,"kentucky",NA,NA,"walter-mccarty-1",NA,NA
"Wesley Person","Wesley","Person","wesley","person",NA,"p/persowe01","persowe01",2005,2005,"655/wesley-person",655,"wesley-person",NA,NA,NA,"auburn",NA,NA,"wesley-person-1",NA,NA
"Willie Green","Willie","Green","willie","green",NA,"g/greenwi01","greenwi01",2005,2015,"2004/willie-green",2004,"willie-green",NA,NA,NA,"detroit-mercy",NA,NA,"willie-green-1",NA,NA
"Yao Ming","Yao","Ming","yao","ming",NA,"m/mingya01","mingya01",2005,2011,"1722/yao-ming",1722,"yao-ming",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yuta Tabuse","Yuta","Tabuse","yuta","tabuse",NA,"t/tabusyu01","tabusyu01",2005,2005,"2241/yuta-tabuse",2241,"yuta-tabuse",2002,2002,"Brigham Young  Hawaii","byuh",NA,NA,NA,NA,NA
"Zach Randolph","Zach","Randolph","zach","randolph",NA,"r/randoza01","randoza01",2005,2018,"1017/zach-randolph",1017,"zach-randolph",NA,NA,NA,"michigan-state",NA,NA,"zach-randolph-1",NA,NA
"Zarko Cabarkapa","Zarko","Cabarkapa","zarko","cabarkapa",NA,"c/cabarza01","cabarza01",2005,2006,"1997/zarko-cabarkapa",1997,"zarko-cabarkapa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zaza Pachulia","Zaza","Pachulia","zaza","pachulia",NA,"p/pachuza01","pachuza01",2005,2019,"2016/zaza-pachulia",2016,"zaza-pachulia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zeljko Rebraca","Zeljko","Rebraca","zeljko","rebraca",NA,"r/rebraze01","rebraze01",2005,2006,"690/zeljko-rebraca",690,"zeljko-rebraca",NA,NA,NA,NA,NA,NA,NA,NA,NA
